(AWS)	Afrikaanse Woordelys en Spelreëls
archive (n)	argief
archive (v)	argiveer, boekstaaf, wegbêre
archives	argief
arctic	arkties, arktiese
Arctic	noordpool-
Arctic Ocean	Yssee
Arctic, the Arctic	Noordpool
Ardennes	Ardenne
area	area
area	oppervlakte
area, region	gebied
arena	arena
Areopagus	Areopagus
Argentina	Argentinië
Argentine	Argentyn
Argentine, Argentinean	Argentyns
Argentinian	Argentyn
argumentation	argumentasie
Argus	Argus
arial grafting	lugenting
arian (a)	aries
arian (n)	ariër
aridity	ariditeit
aristocracy	aristokrasie
aristocrat	aristokraat
arj	arj (kompressieformate)
arm	arm
arm rest	armleuning
arm rest	armrus
arm, miserable, poor	arm
armadillo	armadil
armchair	armstoel
Armenian	Armenies
Armenian	Armeniër
armpit	armholte
army	leër
aroma, flavour	geur
around the back	agterlangs
arrange, fix up, regulation, rule	reël
arrest (n)	aanhouding
arrest (n)	arrestasie
arrest (n)	hegtenis
arrest (v)	arresteer
arrival	aankoms
arrival	koms
arrival (abstract)	aankoms
arrival (person, ie a new arrival)	aankomeling
arrive, get	aankom
arrive, get	arriveer
arrive, get	beland
arrogant	pretensieus
arrow	pyl
arsenal	arsenaal
arsenic	arseen
art	kuns
art gallery	kunsgalery
artery	aar
arthropod	skaaldier
artichoke	artisjok
article, commodity	artikel
articles of faith	geloofsartikels, artikels van geloof
articulation	beweeglikheid
articulation	gewrig
articulation	skarnier
artificial	onnatuurlik
artificial fruit	nagemaakte vrugte
artificial, artistic, clever, dexterous, skillful	kunstig
artillery	artillerie
artillery fire	artillerievuur
artist	kunstenaar
artistic	artistiek, artisties
arum lily	aronskelk
Aryan	Aries
Aryan	Ariër
as ... as, so ... as	so ... soos
as if	as't ware
as if	asof
as if, as though, in a way	asof
as to, as regards, concerning, with reference to	ten opsigte van
as well as	asook
as, how, like, such as	so lyk
as, how, like, such as	soos
asbestos	asbes
ascend, climb, go up	opgaan
ascend, get up, go up, lift, rise, arise	styg
Ascension Day	Hemelvaartdag
ascetic (a)	asketies, asketiese
ascetic (n)	askeet
asceticism	askese, asketisisme, asketisme
ASCII (American Standard Code for Information Interchange)	ASCII
ascorbic acid	askorbiensuur
ash	as
ash heap	ashoop
Ash Wednesday	Asdag
ash, cinder, when, how, like, such as, than, if	as
ash-coloured	askleurig, askleurige
ashtray	asbak
Asia Minor	Klein-Asië
Asian	Asiaat
asian (a)	asiaties, asiatiese
asian (n)	asiaat, asiër
Asian, Asiatic	Asiaties
ask, ask for, beg, bid, request	vra
asocial	asosiaal
aspect	aspek
asphalt	asfalt
asphalt road, tar road	asfaltpad
aspire, aspire to, hope for, run for election	aansoek doen
aspirin	aspirien, aspirine
ass, donkey	donkie
ass, donkey	esel
ass, donkey	groutjie
assailant	aanrander
assault	aanslag
assault (v)	aanrand, aanranding
assault, attack	aanval
assegai, spear	assegaai
assent, say yes, confirm, corroborate	bevestig
assessable	assesseerbaar
assessment	assessering
assessment criteria	assesseringskriteria
assessment strategy	assesseringstrategie
asset	bate
assign	daag
assistant director	assistentdirekteur
assistant manager	assistentbestuurder
association, society	vereniging
assume	aanneem
assumption	aanname
assumption(s)	aanname(s)
assumptions	aannames
assure, certify, make certain	seker maak
assure, certify, make certain	sertifiseer
Assyria	Assirië
Assyrian	Assiries
Assyrian	Assiriër
asterisk	asterisk, sterretjie (*)
asteroids	asteroïde
asthma	asma
asthmatic	asmaties
astringency	vrankheid
astringent, tart	vrank
astronaut	heelalvaarder
aswered	beantwoord
asylum	asiel
asylum, place of refuge, shelter	toevlugsoord
at	by (@), aapstert (minder formeel) (cmdp)
at a strech, for ... together, on end	namekaar
at all, entirely, wholly	heeltemal
at home	tuis
at last, finally, ultimately	uiteindelik
at least	ten minste
at night, by night	snags
at once, instantly, immediately, without delay	dadelik
at present, now	nou
at present, now	tans
at some time, ever	eendag
at some time, ever, first, firstly, first of all	eers
at the back	agteraan
at the right time, in time	betyds
at the right time, in time	op tyd
at, beside, by, near to, next to, alongside	langs
at, beside, by, near to, next to, close, nearby	naby
at, beside, by, near to, next to, with	by
at, by, on, across from, against, in exchange for	jeens
at, by, on, across from, against, in exchange for	teen
at, by, on, beside, with	om
atheist	ateïs
Athena, Athene, Athens	Athene
athletic	atleties, atletiese
athletics	atletiek
Atlantic	Atlanties
Atlantic, Atlantic Ocean	Atlantiese Oseaan
Atlas	Atlas
atlas mountains	atlasgebergte
atmosphere	atmosfeer
atoll	atol
atomic bomb	atoombom
atomic energy	atoomenergie
atoms	atome
atonement	versoening, soendood
attach	attasjeer
attach, determine, fasten, fix, affix, make fast	vasmaak
attach, determine, fasten, fix, affix, make fast	vasstel
attache case	aktetas
attachment	aanhangsel (e-pos)
attack	aanval
attack force	aanvalsmag
attacker, foe, enemy	aanvaller
attacking	aanvallend, aanvallende
attempt to seduce, bring into harbour	aanlê
attempt, effort, test	poging
attempt, test, try	aanpak
attempt, test, try	probeer
attend, be present, witness	bywoon
attend, call on, see, visit	kuier
attend, nurse, tend to	verpleeg
attention	attensie
attentive	aandagtig, aandagtige
Attic	Atties
attract, decoy, lure	lok
attraction	aantrekkingskrag
attraction	attraksie
attractive features	aantreklikhede
attractiveness	aantreklikheid
auctioneer	afslaer
